"year"	"sex"	"name"	"n"	"prop"
1880	"M"	"John"	9655	0.0815456081081081
1880	"M"	"William"	9532	0.0805067567567568
1880	"F"	"Mary"	7065	0.0723835869064085
1880	"M"	"James"	5927	0.0500591216216216
1880	"M"	"Charles"	5348	0.0451689189189189
1880	"M"	"George"	5126	0.0432939189189189
1880	"M"	"Frank"	3242	0.0273817567567568
1880	"M"	"Joseph"	2632	0.0222297297297297
1880	"F"	"Anna"	2604	0.0266789611187951
1880	"M"	"Thomas"	2534	0.021402027027027
1880	"M"	"Henry"	2444	0.0206418918918919
1880	"M"	"Robert"	2415	0.0203969594594595
1880	"M"	"Edward"	2364	0.0199662162162162
1880	"M"	"Harry"	2152	0.0181756756756757
1880	"F"	"Emma"	2003	0.0205214896777829
1880	"F"	"Elizabeth"	1939	0.0198657855642641
1880	"M"	"Walter"	1755	0.0148226351351351
1880	"F"	"Minnie"	1746	0.0178884278469341
1880	"M"	"Arthur"	1599	0.0135050675675676
1880	"F"	"Margaret"	1578	0.0161672045489473
1880	"M"	"Fred"	1569	0.0132516891891892
1880	"M"	"Albert"	1493	0.0126097972972973
1880	"F"	"Ida"	1472	0.0150811946109318
1880	"F"	"Alice"	1414	0.0144869627580554
1880	"F"	"Bertha"	1320	0.0135238973413247
1880	"F"	"Sarah"	1288	0.0131960452845653
1880	"F"	"Annie"	1258	0.0128886839813534
1880	"F"	"Clara"	1226	0.012560831924594
1880	"F"	"Ella"	1156	0.0118436555504329
1880	"F"	"Florence"	1063	0.0108908355104759
1880	"F"	"Cora"	1045	0.0107064187285487
1880	"F"	"Martha"	1040	0.0106551918446801
1880	"M"	"Samuel"	1024	0.00864864864864865
1880	"F"	"Laura"	1012	0.0103683212950156
1880	"F"	"Nellie"	995	0.0101941498898622
1880	"F"	"Grace"	982	0.0100609599918037
1880	"F"	"Carrie"	949	0.00972286255827058
1880	"M"	"David"	869	0.00733952702702703
1880	"F"	"Maude"	858	0.00879053327186107
1880	"M"	"Louis"	828	0.00699324324324324
1880	"F"	"Mabel"	808	0.00827826443317453
1880	"F"	"Bessie"	796	0.00815531991188976
1880	"F"	"Jennie"	793	0.00812458378156857
1880	"F"	"Gertrude"	787	0.00806311152092618
1880	"F"	"Julia"	783	0.00802213001383126
1880	"F"	"Hattie"	769	0.00787869473899903
1880	"F"	"Edith"	768	0.0078684493622253
1880	"M"	"Joe"	731	0.00617398648648649
1880	"M"	"Charlie"	730	0.00616554054054054
1880	"M"	"Clarence"	730	0.00616554054054054
1880	"M"	"Richard"	728	0.00614864864864865
1880	"F"	"Mattie"	704	0.00721274524870652
1880	"F"	"Rose"	700	0.0071717637416116
1880	"F"	"Catherine"	688	0.00704881922032683
1880	"F"	"Lillian"	672	0.00688489319194713
1880	"F"	"Ada"	652	0.00667998565647252
1880	"F"	"Lillie"	647	0.00662875877260386
1880	"M"	"Andrew"	644	0.00543918918918919
1880	"M"	"Daniel"	643	0.00543074324324324
1880	"F"	"Helen"	636	0.00651605962809282
1880	"F"	"Jessie"	635	0.00650581425131909
1880	"F"	"Louise"	635	0.00650581425131909
1880	"F"	"Ethel"	633	0.00648532349777163
1880	"F"	"Lula"	621	0.00636237897648686
1880	"F"	"Myrtle"	615	0.00630090671584448
1880	"M"	"Ernest"	615	0.00519425675675676
1880	"F"	"Eva"	614	0.00629066133907074
1880	"F"	"Frances"	605	0.00619845294810717
1880	"F"	"Lena"	603	0.0061779621945597
1880	"F"	"Lucy"	590	0.0060447722965012
1880	"F"	"Edna"	588	0.00602428154295374
1880	"M"	"Will"	588	0.00496621621621622
1880	"F"	"Maggie"	582	0.00596280928231136
1880	"F"	"Pearl"	569	0.00582961938425286
1880	"M"	"Jesse"	569	0.00480574324324324
1880	"F"	"Daisy"	564	0.0057783925003842
1880	"F"	"Fannie"	560	0.00573741099328928
1880	"F"	"Josephine"	544	0.00557348496490958
1880	"M"	"Oscar"	544	0.00459459459459459
1880	"F"	"Dora"	524	0.00536857742943497
1880	"M"	"Lewis"	517	0.00436655405405405
1880	"F"	"Rosa"	507	0.00519440602428154
1880	"F"	"Katherine"	502	0.00514317914041289
1880	"M"	"Peter"	496	0.00418918918918919
1880	"M"	"Benjamin"	490	0.00413851351351351
1880	"M"	"Frederick"	483	0.00407939189189189
1880	"M"	"Willie"	476	0.00402027027027027
1880	"F"	"Agnes"	473	0.00484606321397469
1880	"F"	"Marie"	471	0.00482557246042723
1880	"F"	"Nora"	471	0.00482557246042723
1880	"M"	"Alfred"	469	0.00396114864864865
1880	"F"	"May"	462	0.00473336406946365
1880	"M"	"Sam"	457	0.0038597972972973
1880	"M"	"Roy"	440	0.00371621621621622
1880	"F"	"Mamie"	436	0.00446698427334665
1880	"F"	"Blanche"	427	0.00437477588238307
1880	"M"	"Herbert"	424	0.00358108108108108
1880	"F"	"Stella"	414	0.00424158598432457
1880	"F"	"Ellen"	411	0.00421084985400338
1880	"F"	"Nancy"	411	0.00421084985400338
1881	"M"	"John"	8769	0.0809807452555756
1881	"M"	"William"	8524	0.0787181973495867
1881	"F"	"Mary"	6919	0.0699899855346612
1881	"M"	"James"	5442	0.0502562681811885
1881	"M"	"George"	4664	0.0430715242184975
